latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,
60.543304,3.2141266,0,0,GMT,GMT,,,,,,,,,,
,,,,,,,,,,,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),wind_direction_10m (°),cloud_cover (%),surface_pressure (hPa),pressure_msl (hPa),weather_code (wmo code),wave_height (m),wave_direction (°),wind_wave_height (m),wind_wave_direction (°),ocean_current_velocity (km/h),ocean_current_direction (°),sea_surface_temperature (°C)
2025-02-04T17:00,8.2,94,48.6,201,100,1002.4,1002.4,61,4.2,220,2.6,198,0.5,180,NaN
2025-02-04T18:00,8.2,94,41.8,211,100,1002.2,1002.2,61,4.06,221,2.26,202,0.6,198,NaN
2025-02-04T19:00,8.2,96,30.2,225,100,1002.4,1002.4,61,3.98,221,1.94,216,0.4,207,NaN
2025-02-04T20:00,8.2,94,24.8,230,100,1002.4,1002.4,55,3.92,222,1.62,230,0.4,243,NaN
2025-02-04T21:00,8.2,94,32.8,243,100,1003.2,1003.2,53,3.84,222,1.3,244,0.4,243,NaN
2025-02-04T22:00,8.1,89,29.2,226,100,1003.4,1003.4,53,3.64,224,1.18,259,0.4,243,NaN
2025-02-04T23:00,7.9,90,29.5,255,100,1004.5,1004.5,55,3.44,225,1.06,274,0.5,225,NaN
2025-02-05T00:00,6.4,84,43.2,308,100,1006.3,1006.3,53,3.24,227,0.94,289,0.7,194,NaN
2025-02-05T01:00,6.9,73,32,304,99,1007.7,1007.7,53,3.22,227,1.1,284,0.9,180,NaN
2025-02-05T02:00,7.3,79,29.2,270,100,1009.4,1009.4,3,3.18,227,1.28,280,0.9,180,NaN
2025-02-05T03:00,8.1,67,40,279,100,1010.9,1010.9,3,3.16,227,1.44,275,1.1,180,NaN
2025-02-05T04:00,7.9,67,39.2,267,83,1012.1,1012.1,3,3.24,228,1.62,266,0.9,180,NaN
2025-02-05T05:00,7.9,69,37.4,258,74,1013.2,1013.2,2,3.3,229,1.78,256,0.9,169,NaN
2025-02-05T06:00,7.7,72,43.6,255,94,1014.4,1014.4,3,3.38,230,1.96,247,0.7,166,NaN
2025-02-05T07:00,7.3,73,47.2,248,52,1015.5,1015.5,2,3.4,234,1.94,251,0.6,146,NaN
2025-02-05T08:00,7.3,70,46.4,252,98,1017,1017,3,3.4,238,1.94,254,0.6,146,NaN
2025-02-05T09:00,7.4,68,45.4,261,82,1018.1,1018.1,3,3.42,242,1.92,258,0.6,124,NaN
2025-02-05T10:00,7.4,67,45.7,260,61,1019.6,1019.6,2,3.42,246,1.82,262,0.8,135,NaN
2025-02-05T11:00,7.5,62,43.2,269,43,1021.1,1021.1,1,3.42,250,1.7,267,0.8,135,NaN
2025-02-05T12:00,7.7,61,41,273,59,1022.5,1022.5,2,3.42,254,1.6,271,0.9,143,NaN
2025-02-05T13:00,7.8,60,38.2,273,40,1024,1024,1,3.36,255,1.56,268,0.9,143,NaN
2025-02-05T14:00,7.8,59,36,270,23,1025.6,1025.6,1,3.3,257,1.5,264,1,149,NaN
2025-02-05T15:00,7.8,62,34.6,268,47,1027,1027,1,3.24,258,1.46,261,1,149,NaN
2025-02-05T16:00,7.8,63,34.2,262,41,1028.2,1028.2,1,3.18,258,1.4,256,1,149,NaN
2025-02-05T17:00,7.8,65,32.4,256,7,1029.2,1029.2,0,3.1,259,1.36,251,0.9,143,NaN
